num_regular_instances,num_regular_services,ds,num_illfitting_instances,num_illfitting_services,num_regular_deprecation,num_illfitting_deprecation,num_regular_creation,num_illfitting_creation
10110284,7230,2022-09-09,751122,9374,0,299,21,356
8655455,6324,2021-10-31,463407,10610,9,115,7,224
9010697,6581,2022-01-19,393482,7143,11,359,9,306
8894144,6552,2021-12-11,432662,8214,5,398,2,268
7363317,5614,2021-03-21,135350,2819,0,10,1,51
8854791,6505,2021-12-02,433317,7932,2,425,21,573
8779427,6456,2021-11-13,429820,8603,0,299,8,725
7344899,5636,2021-03-24,138883,2965,15,29,30,198
10924497,7448,2022-11-30,1158691,11537,10,309,16,311
9081626,6673,2022-03-06,509925,8557,7,303,2,176
9207331,6788,2022-03-26,525134,8683,0,310,2,252
8922039,6554,2021-12-28,409872,7929,3,94,3,75
10699510,7430,2022-10-29,1081528,12183,0,344,1,356
9096357,6858,2022-04-18,552913,8640,9,350,13,392
9484092,7072,2022-06-03,682803,8617,2,294,18,404
8255629,6182,2021-09-09,426100,10874,12,157,15,204
8946125,6554,2022-01-04,417925,7852,6,220,5,222
8067045,5743,2021-06-23,326129,12257,7,1878,19,135
7566570,5654,2021-04-13,177532,5177,5,393,15,320
11138088,7456,2022-12-19,1159665,11297,1,267,12,50
9095046,6852,2022-04-19,546404,8383,6,931,14,397
10850896,7437,2022-11-19,1063329,11751,1,86,1,18
9155872,6690,2022-03-10,515009,8286,8,486,10,316
8253939,6129,2021-09-03,398633,9974,0,112,4,158
8257178,6200,2021-09-12,432570,10869,30,115,2,123
10672099,7407,2022-10-31,1018683,12023,10,456,16,546
8823590,6425,2021-11-05,480501,10306,1,306,3,440
8798237,6497,2021-12-01,482121,7856,4,549,21,597
7365062,5628,2021-03-19,131730,2803,6,113,15,211
8722227,6376,2021-11-02,477418,10959,10,1040,17,255
8101920,5778,2021-07-10,355476,9437,1,64,1,82
8046288,5811,2021-07-26,335128,10104,6,82,4,143
9385652,7086,2022-06-07,650998,8820,6,503,25,462
8778272,6283,2021-10-17,399281,10314,0,431,2,118
9478793,7087,2022-06-04,667971,8699,0,173,6,365
8721005,6207,2021-10-09,387649,10137,0,131,22,256
9179237,6771,2022-03-24,537674,8466,5,462,19,441
7591912,5670,2021-04-21,173455,5928,7,85,13,123
9187721,6728,2022-03-23,533105,7643,8,442,17,476
8782175,6427,2021-11-06,476278,10394,0,324,4,319
9125294,6682,2022-03-05,519421,8524,0,187,1,272
9275494,6862,2022-04-14,620648,8690,5,373,31,854
