service_type,service_id,num_endpoints
illfitting,09247,1
regular,12299,5
illfitting,06098,1
regular,12092,1
illfitting,09910,1
illfitting,15196,1
regular,04075,1
illfitting,15100,1
illfitting,04834,1
illfitting,05015,1
regular,13588,11
regular,18140,16
illfitting,09608,1
illfitting,06049,1
illfitting,08829,1
illfitting,08202,1
regular,18082,2
illfitting,10023,1
regular,17018,5
illfitting,15172,1
illfitting,09909,2
illfitting,15793,1
illfitting,06912,1
illfitting,14006,1
illfitting,11246,1
illfitting,04280,1
illfitting,06211,1
illfitting,01353,1
illfitting,11160,1
illfitting,05521,2
illfitting,14380,3
regular,11991,3
illfitting,15870,2
illfitting,17392,2
illfitting,11416,1
illfitting,01223,1
illfitting,09119,1
illfitting,09148,1
illfitting,12934,1
illfitting,01904,1
illfitting,07608,1
illfitting,03884,1
illfitting,17305,1
illfitting,02807,1
regular,06804,1
illfitting,01077,1
illfitting,06967,1
illfitting,08382,1
illfitting,03938,1
regular,16058,12
illfitting,11648,1
illfitting,08300,1
regular,07945,1
illfitting,01406,1
regular,07899,2
illfitting,01861,1
regular,05626,2
illfitting,02260,1
illfitting,14244,1
illfitting,00509,3
illfitting,01667,2
illfitting,16125,1
illfitting,06916,1
illfitting,07547,1
regular,12642,1
illfitting,05018,1
regular,04122,1
illfitting,05390,3
regular,08048,3
illfitting,01365,1
regular,12793,7
illfitting,16556,1
illfitting,12921,2
regular,06455,4
illfitting,12417,1
illfitting,08614,2
illfitting,08142,1
illfitting,16463,3
illfitting,09982,2
illfitting,09570,1
regular,10389,2
illfitting,17515,1
regular,05691,3
illfitting,06204,1
regular,10410,12
regular,17543,10
regular,14612,11
regular,17561,5
regular,05541,2
regular,12375,3
illfitting,15384,1
illfitting,08307,1
illfitting,14271,1
illfitting,07454,1
illfitting,09089,1
illfitting,10015,2
regular,05699,2
illfitting,09572,1
regular,04072,1
illfitting,14384,3
illfitting,08127,1
regular,06502,1
illfitting,16414,1
illfitting,01530,1
illfitting,14375,2
illfitting,06111,1
illfitting,15361,1
regular,17751,2
illfitting,13395,1
illfitting,01767,2
illfitting,03936,1
regular,10581,6
illfitting,08079,1
regular,17576,1
regular,05645,1
illfitting,17360,2
illfitting,11793,1
illfitting,07615,1
illfitting,16325,4
illfitting,09052,1
illfitting,13140,1
illfitting,02890,1
illfitting,16685,2
illfitting,16117,1
illfitting,11615,1
illfitting,16156,1
illfitting,14092,1
illfitting,09616,1
illfitting,15383,1
illfitting,13135,1
illfitting,10263,1
illfitting,03895,1
illfitting,11193,1
regular,05599,29
regular,00040,94
regular,14901,2
regular,00722,6
regular,18216,4
illfitting,04619,1
illfitting,18455,1
illfitting,15790,2
regular,09709,3
illfitting,11772,1
regular,12815,1
illfitting,04877,1
regular,17899,4
illfitting,17393,2
regular,12241,1
illfitting,15155,1
regular,02521,3
illfitting,13376,1
regular,10855,1
regular,12229,1
illfitting,11821,1
illfitting,11582,1
illfitting,11115,1
illfitting,12987,1
illfitting,01634,2
illfitting,04733,1
illfitting,07494,1
illfitting,13692,1
illfitting,16518,2
illfitting,12534,1
illfitting,02904,1
regular,04477,1
regular,00070,1
illfitting,16275,1
illfitting,05250,1
illfitting,05127,1
illfitting,08115,1
illfitting,18573,1
illfitting,13160,1
illfitting,14213,1
illfitting,05138,1
illfitting,11850,1
regular,10746,2
illfitting,18551,3
regular,18299,1
illfitting,02197,1
regular,07013,1
illfitting,13671,1
regular,02428,1
illfitting,01175,1
illfitting,14048,1
illfitting,17352,3
regular,16070,2
illfitting,16613,1
regular,00711,8
illfitting,10022,2
regular,07215,4
illfitting,09272,1
illfitting,07513,1
illfitting,11803,1
illfitting,13062,1
illfitting,07448,1
regular,13571,60
illfitting,05394,3
regular,03465,10
illfitting,02825,1
illfitting,05230,1
illfitting,15768,2
illfitting,09328,1
illfitting,08221,1
regular,17614,1
illfitting,11668,1
illfitting,05219,1
illfitting,01147,1
illfitting,04786,1
illfitting,16108,1
illfitting,11252,1
illfitting,01829,2
regular,12115,4
illfitting,11873,1
illfitting,08100,1
regular,18076,4
regular,03481,2
illfitting,16584,2
regular,06247,1
regular,17055,2
illfitting,15801,1
illfitting,17283,1
regular,10529,4
regular,12468,1
regular,02433,2
regular,10524,2
regular,16844,1
regular,04108,2
illfitting,09918,1
illfitting,06196,1
illfitting,05502,3
illfitting,08835,1
illfitting,17172,2
illfitting,09369,1
illfitting,14951,1
regular,14575,4
illfitting,16217,1
regular,06474,3
regular,03123,10
regular,18308,2
illfitting,09055,1
regular,05623,2
illfitting,06076,1
regular,04140,1
regular,17889,2
illfitting,04262,1
illfitting,15816,2
illfitting,08888,1
illfitting,02205,1
regular,07804,1
illfitting,03636,1
illfitting,09423,1
illfitting,09898,2
illfitting,11341,1
illfitting,05544,1
illfitting,00519,2
illfitting,08205,1
regular,04151,1
regular,10102,3
illfitting,08241,1
regular,06651,3
regular,17938,2
regular,06596,1
regular,07216,1
illfitting,17263,1
illfitting,04784,1
illfitting,01417,1
illfitting,07635,2
illfitting,03987,1
illfitting,09852,1
illfitting,01743,2
illfitting,07410,1
regular,04119,1
illfitting,16204,1
regular,01057,7
illfitting,06918,1
regular,10446,12
illfitting,02880,1
illfitting,16256,1
illfitting,09873,3
illfitting,00612,1
illfitting,15746,3
illfitting,15749,2
illfitting,09080,1
regular,14456,4
illfitting,03001,1
illfitting,15565,1
illfitting,09016,1
illfitting,02597,1
illfitting,14325,4
regular,00007,6
illfitting,11738,1
regular,12107,3
illfitting,14158,1
regular,10073,1
regular,02520,13
illfitting,06214,1
illfitting,11105,1
regular,07896,2
regular,04462,2
illfitting,15893,1
illfitting,02230,1
regular,01030,1
regular,07306,1
regular,07704,2
illfitting,04847,1
regular,18161,2
illfitting,01872,1
illfitting,08345,1
illfitting,03857,1
illfitting,10179,1
illfitting,16245,1
illfitting,10342,1
regular,18097,3
illfitting,15024,1
illfitting,17193,3
regular,10737,2
illfitting,08234,1
illfitting,08426,1
regular,17026,1
regular,10564,3
illfitting,00472,2
illfitting,07432,1
illfitting,04813,1
illfitting,14162,2
illfitting,09826,1
illfitting,16101,1
illfitting,14087,1
illfitting,08853,1
illfitting,03605,1
illfitting,15057,1
illfitting,13515,1
regular,06799,1
illfitting,01882,1
illfitting,04196,1
illfitting,01222,1
illfitting,15314,1
illfitting,05830,1
illfitting,01345,1
regular,07082,5
illfitting,10233,1
regular,05718,5
illfitting,03943,1
illfitting,17073,2
illfitting,02343,1
regular,12211,3
illfitting,16422,2
illfitting,10207,1
illfitting,15047,1
illfitting,09288,1
illfitting,01731,2
illfitting,11047,1
regular,18280,1
illfitting,10200,1
regular,10414,2
illfitting,06161,1
illfitting,14188,1
illfitting,04778,1
illfitting,15923,1
regular,12584,2
illfitting,16379,1
illfitting,06007,1
illfitting,12577,1
illfitting,15435,1
illfitting,13643,1
regular,18144,18
regular,18069,22
regular,12336,8
regular,04518,3
illfitting,18566,2
regular,10431,2
illfitting,11204,1
regular,00666,20
regular,11969,3
illfitting,08146,1
illfitting,11038,1
regular,03462,2
illfitting,05353,1
illfitting,11682,1
regular,01060,5
illfitting,09357,1
regular,06681,4
regular,16060,3
regular,06639,2
illfitting,05569,1
regular,12194,2
regular,06493,3
regular,00128,4
illfitting,11299,1
illfitting,13396,1
illfitting,02375,1
illfitting,08076,1
illfitting,01499,1
illfitting,09371,2
illfitting,17125,2
illfitting,03913,1
illfitting,12967,1
illfitting,05248,1
regular,12111,19
regular,01561,33
regular,03298,3
illfitting,15925,1
regular,06480,8
illfitting,13373,1
regular,07132,8
regular,06519,2
regular,01017,4
illfitting,01842,1
illfitting,11182,1
illfitting,09025,1
regular,07086,3
regular,07664,3
illfitting,02920,1
illfitting,04211,1
regular,07928,9
illfitting,04808,1
regular,03187,2
illfitting,09386,2
illfitting,11171,1
illfitting,05189,2
illfitting,17395,2
regular,14505,22
illfitting,01074,1
illfitting,02231,1
regular,03489,4
regular,03574,4
regular,07271,3
illfitting,01312,1
illfitting,04029,1
illfitting,08912,1
illfitting,16124,1
regular,10549,1
illfitting,11421,2
regular,03781,1
regular,12038,6
regular,12108,2
illfitting,00480,2
illfitting,08665,1
regular,06563,2
illfitting,15186,1
regular,00810,1
illfitting,11275,1
illfitting,12942,1
illfitting,01465,1
regular,07358,2
regular,00752,6
illfitting,16127,1
illfitting,15898,1
illfitting,02811,1
regular,07685,1
regular,07712,1
illfitting,06787,1
illfitting,03023,1
illfitting,04775,1
regular,14665,1
regular,10652,3
regular,09791,6
illfitting,01717,2
illfitting,15394,1
regular,06261,1
regular,06369,4
illfitting,15198,1
illfitting,15718,1
illfitting,15347,1
regular,09809,1
illfitting,15613,1
illfitting,15012,1
illfitting,13412,1
illfitting,10296,1
regular,13564,18
regular,11454,6
illfitting,16632,2
regular,12018,5
illfitting,14329,5
regular,17034,1
regular,07081,13
illfitting,10191,1
illfitting,08310,1
regular,06684,13
regular,14805,2
illfitting,01943,1
illfitting,15952,1
illfitting,09325,1
regular,11438,1
regular,04592,1
illfitting,06867,2
illfitting,13784,1
illfitting,05185,1
illfitting,04358,2
illfitting,04722,1
illfitting,01168,1
regular,14768,2
illfitting,02765,2
illfitting,05566,1
illfitting,06068,1
illfitting,08287,1
regular,04177,4
illfitting,11921,1
regular,10548,2
illfitting,04633,1
illfitting,14972,1
illfitting,04732,1
regular,02424,416
illfitting,11796,1
illfitting,08206,1
regular,16848,5
regular,17945,3
illfitting,11956,2
illfitting,09425,1
illfitting,06102,1
illfitting,08235,1
illfitting,08866,1
regular,12622,1
illfitting,11827,1
illfitting,02364,1
regular,07939,1
regular,00041,13
illfitting,06004,1
illfitting,17273,1
illfitting,07388,1
illfitting,16576,1
illfitting,02330,1
illfitting,04031,1
illfitting,03976,1
illfitting,03952,1
illfitting,18459,2
illfitting,13126,1
illfitting,13220,1
illfitting,11244,1
illfitting,16599,2
regular,01031,6
illfitting,14025,1
illfitting,06133,1
illfitting,05345,2
illfitting,13427,1
regular,02430,4
illfitting,01894,1
illfitting,02845,1
illfitting,14080,1
illfitting,04965,1
illfitting,08276,1
illfitting,04846,1
illfitting,15929,1
illfitting,11674,1
illfitting,11817,1
regular,03589,31
regular,05723,2
regular,07164,4
illfitting,13405,1
regular,07894,3
regular,17685,2
regular,17772,5
illfitting,03813,1
regular,14490,5
regular,10716,2
illfitting,02022,1
illfitting,15175,1
illfitting,11264,1
regular,17039,2
illfitting,09516,1
illfitting,10178,1
regular,18165,4
regular,18574,1
illfitting,06104,1
regular,10474,8
regular,10792,1
regular,14483,11
illfitting,12904,1
illfitting,01149,1
illfitting,05195,1
illfitting,09074,1
illfitting,13468,1
illfitting,16284,1
regular,02562,5
regular,14610,4
regular,03219,1
illfitting,13050,1
illfitting,04910,1
regular,14435,5
illfitting,10292,1
illfitting,01972,1
illfitting,02167,1
illfitting,04724,1
illfitting,13330,1
regular,04116,1
illfitting,11289,1
illfitting,11120,1
regular,11467,1
illfitting,04004,1
illfitting,05571,1
illfitting,16441,1
regular,07115,2
illfitting,07984,1
illfitting,11211,1
illfitting,05198,1
illfitting,08782,1
regular,14516,1
illfitting,11130,1
regular,09717,13
regular,16913,3
illfitting,15437,1
illfitting,08818,1
illfitting,15152,1
regular,13614,2
regular,03295,1
regular,12123,1
regular,17745,1
regular,01028,4
regular,10435,1
illfitting,04950,1
illfitting,03921,1
illfitting,11235,1
regular,14451,1
illfitting,15332,1
regular,06605,2
regular,05596,7
regular,17929,1
illfitting,05097,1
illfitting,05080,1
illfitting,11224,1
regular,01539,2
regular,07944,3
illfitting,15109,1
illfitting,01291,1
regular,06444,2
regular,00935,4
regular,00753,1
illfitting,17353,3
illfitting,04651,1
illfitting,02967,1
illfitting,15379,1
illfitting,03929,1
illfitting,13694,1
illfitting,13962,1
illfitting,18469,2
illfitting,16176,1
regular,04483,7
regular,09698,6
illfitting,04650,1
illfitting,01751,2
illfitting,13636,1
regular,17973,9
illfitting,17243,1
regular,12689,2
regular,07160,3
illfitting,07499,1
illfitting,08211,1
illfitting,09176,1
regular,10348,2
illfitting,02341,1
illfitting,14157,1
illfitting,05962,1
illfitting,01118,1
illfitting,09208,1
illfitting,04794,1
illfitting,13761,1
illfitting,04350,1
illfitting,17162,1
illfitting,11427,2
illfitting,11376,2
regular,03560,2
illfitting,00568,1
illfitting,13659,1
illfitting,01317,1
illfitting,15134,1
illfitting,08099,1
illfitting,08876,1
illfitting,13444,1
illfitting,04242,1
regular,00970,3
illfitting,08229,1
illfitting,07387,1
illfitting,08251,1
illfitting,17303,1
illfitting,11065,1
illfitting,05042,1
illfitting,13322,1
illfitting,15570,1
illfitting,10184,1
illfitting,11940,3
regular,07950,7
regular,06327,2
illfitting,08515,3
regular,00100,4
regular,03696,8
regular,17840,3
regular,00884,3
regular,14886,2
illfitting,09306,1
illfitting,15403,1
regular,10808,7
illfitting,10262,1
illfitting,17427,2
illfitting,09262,1
illfitting,04783,1
illfitting,11662,1
regular,07736,3
